Wall time,Step,Value
1749792355.2583416,68992,100.0
1749792362.3070438,82304,100.0
1749792364.856085,84992,64.0
1749792364.9028263,85120,82.5
1749792368.1532593,90624,32.0
1749792369.2463222,94336,74.0
1749792369.4714797,95104,71.5
1749792372.1925251,99328,43.333335876464844
1749792375.9225786,106112,67.25
1749792376.358804,107520,40.0
1749792379.2014863,111104,100.0
1749792379.7767391,112896,100.0
1749792383.7110586,120064,30.0
1749792386.1663265,122368,84.5
1749792387.3573773,126080,100.0
1749792387.5101914,126592,24.666667938232422
1749792390.9804196,131968,38.0
1749792394.05598,139136,60.0
1749792396.6525443,141952,100.0
1749792397.4674294,144640,36.0
1749792398.1537836,146944,62.5
1749792399.5548193,149888,72.33333587646484
1749792402.664039,154496,100.0
1749792403.163151,155904,69.0
1749792403.4422767,156800,20.0
1749792411.5942137,161280,100.0
1749792412.7465606,164864,32.0
1749792413.0171392,165760,100.0
1749792413.102453,166016,29.75
1749792415.3140857,168192,27.0
1749792415.5925279,168960,68.4000015258789
1749792418.8245015,173696,79.66667175292969
1749792422.255736,179712,50.5
1749792422.5707126,180608,86.5999984741211
1749792422.6192122,180736,43.333335876464844
1749792423.3092654,182784,52.333335876464844
1749792424.0244205,184960,38.0
1749792427.60486,191360,61.0
1749792430.9040725,196992,80.0
1749792431.3627515,198400,18.0
1749792433.7506227,202624,41.60000228881836
1749792437.0775802,210304,100.0
1749792438.2764142,211712,100.0
1749792439.4130201,214528,18.0
1749792443.969935,222592,28.0
1749792447.4370165,230400,33.0
1749792449.6473417,232576,100.0
1749792450.20068,234240,65.5
1749792450.6997223,235776,28.0
1749792452.7112505,238336,40.75
1749792453.4506128,240512,60.25
1749792456.6630597,245760,48.0
1749792456.7511587,246016,100.0
1749792457.3361254,247808,21.0
1749792457.629565,248704,38.0
1749792458.8358865,251648,46.66666793823242
1749792459.3423147,253184,46.333335876464844
1749792459.7902505,254592,47.833335876464844
1749792459.9054375,254976,44.333335876464844
1749792460.5656965,256128,25.5
1749792462.0687966,260736,35.5
1749792465.2049868,265472,19.0
1749792465.2896743,265728,19.0
1749792465.449526,266240,26.0
1749792465.9413085,267648,16.0
1749792466.1515336,268160,22.666667938232422
1749792471.1659896,275456,19.33333396911621
1749792472.2116797,278400,44.25
1749792475.0619667,282496,78.75
1749792478.4041903,288128,100.0
1749792480.4177623,294272,38.5
1749792480.4665012,294400,61.0
1749792483.6383395,299264,18.0
1749792485.65999,301312,19.5
1749792485.8055785,301696,79.25
1749792487.452334,306432,17.5
1749792487.5836103,306816,15.142857551574707
1749792489.657269,308608,41.5
1749792490.5925033,311296,37.0
1749792491.0616584,312704,16.0
1749792492.7888055,316800,60.0
1749792493.1514046,317824,31.200000762939453
1749792501.6983943,322304,34.66666793823242
1749792502.3449953,324224,59.75
1749792503.7474873,326528,29.0
1749792503.8704894,326912,70.66667175292969
1749792504.2103918,327936,17.5
1749792508.7637632,336640,33.75
1749792514.9903083,345856,57.0
1749792515.6228204,347520,60.5
1749792515.9818504,348544,43.66666793823242
1749792517.8329146,353280,12.666666984558105
1749792517.9943254,353792,45.66666793823242
1749792518.2877572,354688,17.5
1749792520.1108012,358656,100.0
1749792521.036904,361216,17.80000114440918
1749792521.0790243,361344,13.0
1749792521.883833,363776,43.66666793823242
1749792526.5957694,375936,81.25
1749792527.0028176,377088,51.85714340209961
1749792528.8724158,378368,44.333335876464844
1749792529.4060178,379776,26.85714340209961
1749792537.271506,393984,31.666667938232422
1749792540.2045052,397824,32.0
1749792545.5258002,408192,57.5
1749792549.0395746,413440,36.5
1749792551.098573,418176,61.4444465637207
1749792554.406277,423552,59.0
1749792554.6820762,424320,33.20000076293945
1749792555.2702348,425984,16.80000114440918
1749792555.6146255,427008,12.5
1749792555.7416909,427392,100.0
1749792557.3367577,430080,14.5
1749792558.1820667,432384,12.0
1749792558.8001473,434176,34.25
1749792560.7551708,435840,34.75
1749792564.2095008,441856,37.25
1749792564.2574635,441984,34.5
1749792565.2723355,444800,57.0
1749792566.671766,448512,13.0
1749792567.0684202,449536,29.33333396911621
1749792567.429698,450560,56.5
1749792569.986092,455808,15.0
1749792570.4075348,456960,34.75
1749792571.0922558,459008,82.80000305175781
1749792571.4790332,460160,12.25
1749792572.9277625,462464,34.75
1749792573.2333326,463360,14.0
1749792573.798552,465024,12.199999809265137
1749792573.840091,465152,12.0
1749792573.8825693,465280,42.333335876464844
1749792574.5057304,467200,15.333333969116211
1749792575.5414653,469632,37.75
1749792576.8192346,473216,16.33333396911621
1749792578.6031878,476160,33.60000228881836
1749792579.0566685,477440,35.75
1749792579.8575435,479744,100.0
1749792589.9439664,487424,13.25
1749792591.4535258,491392,13.5
1749792591.9505925,492672,72.0
1749792594.0808218,494208,58.0
1749792598.7854705,502400,35.5
1749792601.619947,508928,12.666666984558105
1749792601.6770358,509056,12.199999809265137
1749792602.7799928,511744,32.0
1749792602.8254333,511872,100.0
1749792604.2141783,513792,41.333335876464844
1749792605.4431455,517120,11.0
1749792608.4602342,520832,13.5
1749792609.5583527,523264,15.0
1749792609.9425223,524160,27.666667938232422
1749792611.8978276,526464,57.0
1749792612.0473316,526848,16.0
1749792613.0463824,529664,27.666667938232422
1749792614.2956007,532736,26.666667938232422
1749792614.4243648,533120,11.0
1749792616.3885198,538112,40.66666793823242
1749792620.259879,544512,15.25
1749792624.0744429,550912,26.85714340209961
1749792627.2870948,558208,17.33333396911621
1749792628.2818754,561024,31.200000762939453
1749792628.3277676,561152,30.571430206298828
1749792628.643355,562048,42.66666793823242
1749792629.0498707,563200,14.0
