Wall time,Step,Value
1749788493.2794638,50432,0.0
1749788502.525244,69504,1.0
1749788505.2027788,72960,1.0
1749788505.2482467,73088,1.0
1749788508.9210386,79616,1.0
1749788511.527982,83584,1.0
1749788511.8204198,84480,0.0
1749788512.9765348,88064,0.5
1749788516.7556822,95104,0.5
1749788518.6770039,96512,0.0
1749788519.8995488,100352,0.5
1749788520.5364954,102400,0.0
1749788526.0568635,109312,0.5
1749788527.0158398,111872,1.0
1749788529.895316,115456,1.0
1749788530.062655,115840,1.0
1749788532.3396866,121472,1.0
1749788537.9229617,128768,1.0
1749788538.9602308,131712,0.0
1749788539.8492637,134144,1.0
1749788542.0010295,136192,0.0
1749788543.1387682,139776,1.0
1749788545.95484,143488,0.5
1749788546.4908779,145024,1.0
1749788546.840266,146048,1.0
1749788550.0363307,150528,1.0
1749788552.7985308,153984,0.5
1749788553.0753448,154752,0.5
1749788553.1680655,155008,0.3333333432674408
1749788553.9399977,157184,0.0
1749788554.2643821,158080,0.0
1749788563.0626154,162944,1.0
1749788566.6976318,168576,1.0
1749788566.9765847,169344,0.0
1749788567.0225668,169472,0.0
1749788567.7085457,171264,1.0
1749788570.2851691,173952,1.0
1749788574.551908,180352,0.3333333432674408
1749788578.2545345,185984,0.3333333432674408
1749788578.8504832,187392,0.5
1749788580.4205885,191872,0.75
1749788586.3028014,198912,0.75
1749788586.7370315,200064,0.5
1749788587.6564505,202880,1.0
1749788591.925413,211200,0.6666666865348816
1749788597.6891263,218624,1.0
1749788598.5410953,221056,1.0
1749788599.0159185,222464,0.0
1749788599.5033789,223872,0.6666666865348816
1749788602.021629,226560,0.6000000238418579
1749788602.767961,228608,0.5
1749788606.160514,233600,0.8333333730697632
1749788606.3237572,234112,0.800000011920929
1749788607.0570993,236160,0.75
1749788608.894715,237056,1.0
1749788609.9455767,239616,0.3333333432674408
1749788610.5385666,241280,0.0
1749788611.0351577,242688,0.3333333432674408
1749788611.1271844,242944,0.6666666865348816
1749788613.0841928,244096,1.0
1749788615.1228352,249088,0.5
1749788618.5197532,253440,0.75
1749788618.6286192,253696,1.0
1749788618.828728,254208,1.0
1749788619.3375978,255488,0.5
1749788619.5278811,256000,0.75
1749788625.383978,263296,0.6666666865348816
1749788626.4715774,265856,0.6666666865348816
1749788629.6166365,270080,1.0
1749788633.2676594,275712,1.0
1749788635.3133628,281088,1.0
1749788635.362231,281216,1.0
1749788638.6485257,286080,1.0
1749788640.5308335,288256,1.0
1749788640.682556,288640,0.699999988079071
1749788642.3260639,293376,1.0
1749788642.4541912,293760,0.75
1749788644.6580334,295552,0.6000000238418579
1749788645.708031,298112,0.0
1749788646.2297482,299648,1.0
1749788649.160156,303616,0.6666666865348816
1749788649.539597,304768,1.0
1749788652.4923072,309248,0.5
1749788653.2187083,311168,0.0
1749788653.971504,313344,1.0
1749788654.060096,313600,0.6666666865348816
1749788655.884349,314496,1.0
1749788666.468541,323200,0.6666666865348816
1749788671.124789,332416,1.0
1749788673.0753715,334208,0.6666666865348816
1749788673.414748,335104,1.0
1749788676.3443077,339456,0.3333333432674408
