Wall time,Step,Value
1749788472.9061692,6400,-0.01941397227346897
1749788476.0449882,12800,-0.02857310138642788
1749788479.0016382,19200,-0.024612702429294586
1749788482.2072577,25600,-0.023731660097837448
1749788485.2565413,32000,-0.038780342787504196
1749788488.5665834,38400,0.009066211991012096
1749788491.6359289,44800,-0.042399801313877106
1749788495.0020757,51200,-0.027248110622167587
1749788498.1792104,57600,-0.00019117831834591925
1749788500.98657,64000,0.029632916674017906
1749788504.2780943,70400,-0.008703772909939289
1749788508.0461404,76800,0.025735611096024513
1749788511.3843,83200,-0.0009414911037310958
1749788514.9671926,89600,0.00748895388096571
1749788518.4928522,96000,0.01298438012599945
1749788521.9926739,102400,0.011120082810521126
1749788525.8403196,108800,0.04670159891247749
1749788529.771118,115200,-0.013622600585222244
1749788533.8646548,121600,-0.02037445828318596
1749788537.6367033,128000,0.008793561719357967
1749788541.3673801,134400,0.008806477300822735
1749788544.9169729,140800,-0.028788456693291664
1749788548.7616735,147200,0.002444796497002244
1749788552.6335766,153600,-0.002858977299183607
1749788556.4373236,160000,-0.012053086422383785
1749788565.8341253,166400,0.006344088353216648
1749788569.8041673,172800,0.03358865901827812
1749788573.9892154,179200,0.017199654132127762
1749788578.086144,185600,-0.004761495627462864
1749788581.940737,192000,0.0034659814555197954
1749788586.1111596,198400,-0.00024819851387292147
1749788589.7000651,204800,-0.025008073076605797
1749788593.3786623,211200,0.015033315867185593
1749788597.2825997,217600,-0.014602985233068466
1749788601.0212293,224000,-0.003157057799398899
1749788604.8518965,230400,0.0047934469766914845
1749788608.781208,236800,0.0044713616371154785
1749788612.7024105,243200,0.005281467456370592
1749788616.8191955,249600,0.004852414131164551
1749788621.0165029,256000,0.06460994482040405
1749788624.9837325,262400,0.016238097101449966
1749788629.08213,268800,0.00122264982201159
1749788633.0416071,275200,-0.010776419192552567
1749788637.0036855,281600,-0.006093746516853571
1749788640.4388354,288000,-0.012875761836767197
1749788644.1594732,294400,-0.01207436341792345
1749788648.066005,300800,-0.0004806137003470212
1749788651.6636448,307200,0.0457364022731781
1749788655.5172274,313600,0.05985889211297035
1749788659.5878875,320000,0.012568296864628792
1749788669.0121424,326400,0.011718261055648327
1749788672.5469158,332800,0.051603011786937714
1749788676.2364986,339200,-0.01606031320989132
1749788680.0283465,345600,0.004185094963759184
1749788683.375675,352000,0.06808733195066452
1749788687.0747235,358400,0.0134769007563591
1749788690.1451979,364800,0.010335051454603672
1749788693.9084158,371200,-0.007537729572504759
1749788697.691468,377600,0.0041490839794278145
1749788700.9012542,384000,0.04800508916378021
1749788704.7812257,390400,0.009324219077825546
1749788708.5151882,396800,0.013353641144931316
1749788712.2002673,403200,0.010606765747070312
1749788716.1604695,409600,0.01978893205523491
1749788719.4400146,416000,0.012845699675381184
1749788723.3053691,422400,0.010828950442373753
1749788726.5794268,428800,0.009030207991600037
1749788730.6615367,435200,0.016374999657273293
1749788734.9132051,441600,0.03312375396490097
1749788738.971112,448000,0.0861506462097168
1749788743.0222576,454400,0.01588538847863674
1749788745.6111865,460800,0.04337949678301811
1749788749.658515,467200,-0.012559673748910427
1749788753.1252847,473600,0.06067487224936485
1749788755.6971872,480000,0.06836219877004623
1749788764.0289729,486400,0.0413898266851902
1749788767.2175677,492800,0.024355418980121613
1749788770.1430502,499200,0.029908889904618263
1749788773.070645,505600,0.03168439492583275
1749788776.8144383,512000,0.014274845831096172
1749788779.9355419,518400,0.043306246399879456
1749788783.833245,524800,-0.008553101681172848
1749788786.7786705,531200,0.015817202627658844
1749788790.4597197,537600,0.062110528349876404
1749788793.946669,544000,-0.004166762810200453
1749788797.9924397,550400,0.01693822257220745
1749788801.7373059,556800,0.01990446075797081
1749788805.1298566,563200,-0.004223436117172241
1749788809.0984907,569600,0.06311891227960587
1749788811.7765985,576000,0.06723955273628235
1749788815.159468,582400,-0.019970552995800972
1749788817.9972494,588800,-0.005836324766278267
1749788821.7309833,595200,0.016406817361712456
1749788825.2890708,601600,0.00846484862267971
1749788829.1336627,608000,0.0216892808675766
1749788833.0183084,614400,0.020014304667711258
1749788836.5026455,620800,0.034293193370103836
1749788839.884948,627200,0.026260703802108765
1749788842.5582192,633600,0.013843027874827385
1749788845.408378,640000,0.05507549270987511
1749788854.3623269,646400,0.04641447588801384
1749788857.1849637,652800,0.018881527706980705
1749788859.9273756,659200,0.019297679886221886
1749788862.3732724,665600,0.03274974226951599
1749788866.1550632,672000,-0.002020354149863124
1749788868.740204,678400,-0.005610942840576172
1749788872.1212595,684800,0.01896165870130062
1749788875.878308,691200,-0.006614238955080509
1749788878.7999232,697600,0.007317499723285437
1749788881.5129278,704000,0.027352232486009598
1749788884.4812257,710400,0.02687935344874859
1749788887.4334307,716800,0.029420532286167145
1749788890.1222243,723200,0.03183579444885254
1749788892.8509805,729600,0.006926450412720442
1749788895.5438197,736000,0.02610671892762184
1749788898.0050392,742400,0.05084765702486038
1749788900.4138238,748800,0.015585656277835369
1749788903.1736572,755200,0.0643983855843544
1749788906.57046,761600,0.04976208508014679
1749788909.1759112,768000,0.044165465980768204
1749788912.0402946,774400,0.0298016257584095
1749788914.8487642,780800,0.06055871769785881
1749788917.5096467,787200,0.03926654905080795
1749788920.2327967,793600,0.05743299797177315
1749788924.0204759,800000,0.07679198682308197
1749788932.270374,806400,0.05486370995640755
1749788934.9562337,812800,0.0394853875041008
1749788937.6376178,819200,0.07515852898359299
1749788940.0857406,825600,0.09245644509792328
1749788943.8036888,832000,0.020650312304496765
1749788947.4378476,838400,-0.004890318028628826
1749788949.9337554,844800,0.03987821191549301
1749788952.795938,851200,0.04759129509329796
1749788956.2666266,857600,-0.010675342753529549
1749788958.989537,864000,0.0460350401699543
1749788961.6105828,870400,0.031783994287252426
1749788964.499595,876800,0.07208551466464996
1749788967.3294976,883200,0.01667865924537182
1749788969.8830204,889600,0.0126789640635252
1749788972.3373387,896000,0.04751240089535713
1749788975.3354058,902400,0.07137896865606308
1749788977.8768828,908800,0.0114895673468709
1749788980.3145914,915200,0.06911011785268784
1749788982.817679,921600,0.02720344066619873
1749788985.8288646,928000,0.0399588905274868
1749788988.786523,934400,0.03335728496313095
1749788992.1693363,940800,-0.0030901432037353516
1749788994.8979998,947200,0.11591190844774246
1749788997.3239894,953600,0.06619036197662354
1749789000.2292705,960000,0.03804068639874458
1749789008.2876456,966400,0.058770906180143356
1749789011.1318998,972800,0.025176605209708214
1749789014.2630448,979200,0.05680486559867859
1749789016.899547,985600,0.016299018636345863
1749789019.4673188,992000,0.01996835507452488
1749789022.2620573,998400,0.01952059008181095
1749789025.0703235,1004800,0.007409131154417992
1749789027.6713347,1011200,0.009908978827297688
1749789030.2997527,1017600,0.04653385654091835
1749789032.8092196,1024000,0.03551911935210228
1749789035.378326,1030400,0.06510276347398758
1749789037.9675522,1036800,0.03589124605059624
1749789040.6640487,1043200,0.04067329317331314
1749789043.490498,1049600,0.04072679579257965
1749789046.1699204,1056000,0.005932072177529335
1749789048.750384,1062400,0.05190984904766083
1749789052.195644,1068800,0.02190261520445347
1749789054.9761198,1075200,0.04240702465176582
1749789057.8470874,1081600,0.014660867862403393
