Wall time,Step,Value
1749788493.2800417,50432,100.0
1749788502.5257926,69504,43.0
1749788505.2032871,72960,17.0
1749788505.2487266,73088,71.0
1749788508.9215996,79616,45.5
1749788511.5285373,83584,53.0
1749788511.8208804,84480,100.0
1749788512.9770253,88064,94.0
1749788516.7561693,95104,63.5
1749788518.6775727,96512,100.0
1749788519.9000335,100352,92.0
1749788520.5369182,102400,100.0
1749788526.0574257,109312,75.5
1749788527.0164087,111872,24.0
1749788529.8958778,115456,53.0
1749788530.0632267,115840,46.0
1749788532.3401754,121472,26.5
1749788537.9235287,128768,32.0
1749788538.960703,131712,100.0
1749788539.8497298,134144,53.0
1749788542.0015647,136192,100.0
1749788543.1393213,139776,38.5
1749788545.9555123,143488,62.5
1749788546.4915838,145024,26.0
1749788546.8409243,146048,31.25
1749788550.036868,150528,17.0
1749788552.7991884,153984,62.25
1749788553.0759244,154752,70.5
1749788553.1686203,155008,78.66667175292969
1749788553.9405377,157184,100.0
1749788554.2649202,158080,100.0
1749788563.063225,162944,30.0
1749788566.6981752,168576,26.5
1749788566.9771326,169344,100.0
1749788567.0231342,169472,100.0
1749788567.709055,171264,24.0
1749788570.2858677,173952,24.5
1749788574.5526206,180352,74.66667175292969
1749788578.2551901,185984,76.0
1749788578.851158,187392,61.0
1749788580.4211688,191872,40.0
1749788586.3033895,198912,43.75
1749788586.7376237,200064,58.0
1749788587.65693,202880,20.0
1749788591.9258878,211200,48.66666793823242
1749788597.6896944,218624,18.5
1749788598.541579,221056,32.0
1749788599.0163903,222464,100.0
1749788599.5038638,223872,51.66666793823242
1749788602.0222087,226560,54.400001525878906
1749788602.7685404,228608,61.0
1749788606.1610932,233600,33.0
1749788606.3243463,234112,38.20000076293945
1749788607.0576174,236160,39.5
1749788608.8954031,237056,21.0
1749788609.9462707,239616,72.0
1749788610.539169,241280,100.0
1749788611.035677,242688,73.33333587646484
1749788611.1277285,242944,44.66666793823242
1749788613.084856,244096,16.0
1749788615.1234655,249088,60.5
1749788618.520341,253440,39.0
1749788618.629202,253696,20.5
1749788618.8293085,254208,20.5
1749788619.338196,255488,58.5
1749788619.5284665,256000,39.5
1749788625.384633,263296,51.0
1749788626.4721162,265856,49.66666793823242
1749788629.6172717,270080,18.33333396911621
1749788633.2683384,275712,25.83333396911621
1749788635.3139107,281088,22.5
1749788635.3627534,281216,25.0
1749788638.6489885,286080,20.80000114440918
1749788640.5314445,288256,30.0
1749788640.6831937,288640,45.0
1749788642.326536,293376,23.0
1749788642.4546742,293760,44.25
1749788644.6586473,295552,50.20000076293945
1749788645.7084918,298112,100.0
1749788646.230202,299648,19.0
1749788649.160642,303616,44.0
1749788649.5401075,304768,24.0
1749788652.4928684,309248,59.0
1749788653.2191896,311168,100.0
1749788653.9719808,313344,26.0
1749788654.0605638,313600,45.0
1749788655.8849094,314496,19.666667938232422
1749788666.469039,323200,49.833335876464844
1749788671.125278,332416,26.0
1749788673.0759816,334208,43.0
1749788673.4153755,335104,16.0
1749788676.3449287,339456,70.0
1749788676.49056,339840,60.5
1749788676.836145,340736,23.33333396911621
1749788678.2566247,344704,63.5
1749788680.7782722,347520,51.20000076293945
1749788680.8322625,347648,44.333335876464844
1749788681.7054596,350080,14.333333969116211
1749788688.5371876,362496,45.0
1749788688.956669,363776,14.0
1749788690.3055718,365184,79.75
1749788690.84229,366592,44.0
1749788698.9723425,380800,17.0
1749788701.2458475,384768,49.0
1749788706.4773347,395008,14.25
1749788709.9053552,400128,71.33333587646484
1749788712.883923,404736,43.66666793823242
1749788716.3738048,410112,13.5
1749788716.6235523,410752,15.666666984558105
1749788717.2521436,412416,15.0
1749788717.6363752,413568,14.333333969116211
1749788717.7684052,413952,28.000001907348633
1749788719.6560473,416512,16.75
1749788720.525712,418816,55.5
1749788721.1474817,420608,34.5
1749788721.7198322,422272,15.333333969116211
1749788726.7884946,429312,41.66666793823242
1749788726.8402312,429440,39.142860412597656
1749788727.90431,432384,43.66666793823242
1749788731.0556474,436096,37.0
1749788731.5013876,437120,27.000001907348633
1749788731.918769,438144,27.71428680419922
1749788735.624228,443392,15.0
1749788736.052851,444544,30.83333396911621
1749788736.7526298,446592,15.0
1749788737.1514974,447744,43.66666793823242
1749788739.7561095,449920,33.400001525878906
1749788740.0332377,450688,14.0
1749788740.6018224,452352,16.0
1749788740.6439924,452480,33.0
1749788740.6880693,452608,39.71428680419922
1749788741.255507,454272,42.66666793823242
1749788743.8693202,456448,55.5
1749788745.1293383,459904,17.0
1749788746.3377352,462720,15.75
1749788746.825238,464000,49.79999923706055
1749788747.578791,466176,28.666667938232422
1749788753.377907,474240,66.5999984741211
1749788754.8618627,478336,17.5
1749788755.3483372,479744,12.800000190734863
1749788761.7047727,481152,13.333333969116211
1749788765.0358498,489088,57.0
1749788768.3804822,495488,56.5
1749788768.4355507,495616,15.0
1749788769.5434155,498304,37.5
1749788769.5871093,498432,14.5
1749788770.5761902,500352,43.66666793823242
1749788771.7016187,503552,15.0
1749788773.756123,507264,14.75
1749788774.6262565,509696,17.0
1749788774.944505,510592,15.0
